"Category","Annual Mean","5-yr smooth"
1901,1633.7,1611.05
1902,1561.14,1582.26
1903,1538.4,1555.01
1904,1552.77,1530.77
1905,1502.57,1511.21
1906,1478.91,1497.81
1907,1485.81,1491.89
1908,1531.46,1492.49
1909,1492.21,1497.28
1910,1497.84,1503.93
1911,1541.85,1510.1
1912,1483.7,1513.49
1913,1494.18,1513.15
1914,1531.76,1510.04
1915,1472,1505.19
1916,1528.88,1499.66
1917,1503.87,1494.52
1918,1496.32,1490.6
1919,1451.46,1488
1920,1496.1,1486.74
1921,1490.63,1486.81
1922,1529.24,1488.19
1923,1459.01,1490.91
1924,1490.91,1495.11
1925,1479.76,1501.02
1926,1517.21,1508.86
1927,1505.54,1518.85
1928,1650.68,1531.21
1929,1479.14,1545.15
1930,1454.07,1558.99
1931,1605.38,1570.97
1932,1653.76,1579.36
1933,1571.8,1582.35
1934,1594,1579.31
1935,1552.52,1572.11
1936,1570.22,1562.98
1937,1485.38,1554.24
1938,1554.05,1548.14
1939,1565.6,1546.44
1940,1567.76,1548.06
1941,1548.7,1550.84
1942,1592.57,1552.63
1943,1559.54,1551.29
1944,1518.08,1544.81
1945,1542.87,1534.25
1946,1514.95,1523.16
1947,1443.63,1515.15
1948,1540.07,1513.88
1949,1520.31,1522.95
1950,1499.6,1543.09
1951,1719.82,1569.61
1952,1466.12,1597.34
1953,1629.68,1620.83
1954,1721.01,1634.89
1955,1848.23,1635.33
1956,1618.91,1622.83
1957,1139.94,1599.56
1958,1746.29,1567.64
1959,1208.21,1529.19
1960,1762.11,1486.35
1961,1554.65,1443.57
1962,1338.72,1406.24
1963,1570.62,1379.86
1964,1298.57,1369.96
1965,1514.82,1381.99
1966,1504.62,1414.68
1967,973.49,1456.98
1968,1304.48,1497.13
1969,1642.97,1523.02
1970,1852.53,1522.92
1971,1515.06,1490.52
1972,1525.66,1438.85
1973,1176.59,1385.72
1974,1471.78,1348.44
1975,1250.38,1344.49
1976,1174.96,1388.96
1977,1384.88,1473.26
1978,1565.71,1576.85
1979,2377.24,1679
1980,1481.04,1759.17
1981,2167.54,1796.65
1982,1437.64,1787.01
1983,1525.3,1743.99
1984,1509.56,1682.18
1985,1491.78,1616.74
1986,1598.75,1562.3
1987,1933.79,1528.66
1988,1699.94,1512.18
1989,1396.64,1507.01
1990,1519.03,1507.2
1991,1377.69,1506.82
1992,1458.92,1500.85
1993,1489.75,1490.32
1994,1371.52,1478.72
1995,1598.18,1469.57
1996,1414.38,1466.39
1997,1373.01,1472.53
1998,1835.74,1487.65
1999,1316.59,1507.94
2000,1521.6,1529.55
2001,1569.33,1548.42
2002,1465.9,1560.7
2003,1660.87,1564.55
2004,1483.08,1562.5
2005,1627.25,1557.68
2006,1525.85,1553.22
2007,1641.85,1552.23
2008,1510.04,1556.91
2009,1525.28,1564.6
2010,1553.1,1571.12
2011,1569.55,1572.29
2012,1732.5,1563.88
2013,1320.83,1542.16
2014,1379.5,1509.43
2015,1466.47,1472.52
2016,1786.85,1438.3
2017,1593.24,1413.91
2018,1275.15,1406.16
2019,1285.64,1418.06
2020,1348.1,1446.28
2021,1417.93,1486.61
2022,1539.76,1535.03
2023,1703.4,1587.51